180215110847.496|1|f2DkY9qNf72K8zROHaFBeBiYbFTYAeYTG37GUqWMB7FneE8RKpWPSUmM6gHKaDrvrXtMWrWjp3PJY7QmIfjvfIBpvxMfUzg013c619OcqcVD9RESmWtsrd9rhpmffhjedGYBG546HmTZNYAWAaVk1e8YCUGg6pXR4lkpL07Dj6xpR74P3VkMba6UjicbPchtyfIiAFdZUJUDsmI4TuGlWcjGKHd3XNkp57FkRQc31XpoQNoZqMX0CVdc6jTgog1hUtwL1zmqDUwLswsTYZUztHY8i4BiUFhXjSne0qIAeZXaJ7c0tXmFlgqPlIrDhMClt1VQqYRJWPYvveTHcTFeBHM6vpkm9LO9c1zuDVWm6KehEjpjpnpj0QBj8TMxKLLpGiQYiEWD23fPFgCQ3h7C4qLecs21N1ceYJWoAJFEn0onBQF2Rw0X0om4tZZM0nR63W1SA6C8LqvmmjPlU8Gc3BsUI7WLsOyJtkdMtdUADg2PIRMZ4LCyl78mb8eHoC6kza3SmamkDl3S5JOquuDRPnjhq6QmKLFKhtuX3RLiWYPZQenk7RLtsOvbvGU0AMJCd15PBUe67VRYUvEznGJjRQMRvsQ4TCJaKztfzHhqMnsZIu60W0YypKGitO90SIr0BADJDvHfJZQ0rSGo1V3TlTAAu4rDUKqxkRVZs2zjd9eZcBYtYV5IMBj5nPcFsXZU0RMIuwJZ41KxApeVwHMasluDQXDnG1rqL9TMMCQWd4pCYCmruof0Lmtv5Ow77gQPpqbjnodEFTbvUJ48vyPgLydqOLugS2sJ2XD8WDVL5hVazTcXsAVgFjip7XAuAacRqSNlErDSpCpnevS0b9J2IOKxthbBCS2BjbtcyWVfYBwEqnfoHDa6uIl5Rf2IfodORVZwO1cYWNfRLh1vdRV6ZAydaniPuHe4Jmvu5nmkxztGxIjF8J1w5FgC80KvuTb3zbCd0iIVbIfOkrXl3Tl0NrTcG8YS7uXTpWsia7Mf4Ed3VOq5B2dTKOIjDHD6cUxN
180215110847.516|2|foqa6wl4d5QdUKYakfrwvGWQHBPlbnZIgfmHPq82Jy8LnhS7sITUBOQQBTG89GfQRRB6Jakwmgruj6fcmjXBs5WSzJhKdHSwuFkr3f0qrhHtTiV6hOQDOfMxzTW3au8z
180215110847.528|3|Pi2GqO5ckw7RqVsLnwrTeaOHVYMhpCH7GsEXsqOsO85Gh7eEg2h6MxoiSkm4SpB8saTUmmCg563qI3dtKCfzsJLJerQeOsEOhU0kEdwW5xpUVc9KBbLuehkZPTBg8jtjaRB94EkKwdATEhlE7VvNj45xc1ty5E5lVYnzcYcfXTjiI3hh1jFc81R1ekBo9Ph6it5pVzuln6OcFn9e8hlPpwrbUYr7Sh5uMROcM925xC5PigBALDOFFo7PuRVzNmw5baKowoDBv2GZ5nMQigvxXkNcd0sjtQ0ufbWkmUpsIaLNLqtRNIcle6lPpNB8a9B47KdGueN8xKk6Z4t2e4b4zocDeUoWhPZW93m6U8Tp8dYNOIOsMJ39pd8Xy1DlEPo5qlgc9AWublZHUSbcopWFYvcktPo60lFxJtnOBzQXVqk2Vf1Wdx4b4pHfJkJoyQk5dVcehpVOafYiBRgnYW5MkJdFRxJwvHkXAnKhgRSr5ZOLW88bsa2UzIGBFd0RqVXqNjnwNfFRHFclKpLp5gREETWKDaStJPNU6Z3c5vuvuD8G0rO2THUz7H9THRzSkNMWcGoNvxf2yH56pzqxo7VRm7WSVaVtXm9p2zkq3P3M4lkYkSYXtTQuJ832qy3ZXFVDXJBuGTIT8UuyQ9MEbIpXdicM5VdvZQZbUagF3HucTnM2prGltDWLNJUILRMG2QD8ozeAfISJ76qaInWBIZK2AF59AUZmE19aZQu4IEDc2fFGtaX76RfisGv6piwMH3yp3Ypu1yYiOFjydlI4jpRDCjfuGu6YgRbNGnpL1oxjDcISSggFuQkiSA5ErpkfLqWnNWwCUtAk0JKqf4WK4MTJYEXFc9oKTMALeFOPjtG6cadkQBnAf14ceHZIOS4vvK82WYLCCLKzaPwPtQ6qeqZWtV8uWxJqY07HEmjXsTmoQlAVlBsSbJPVrMOvNrdgjTTtl10cBUtMnvehb0uyD8Bl9YcLWHGBGmA9xpBaYUmdO7MJFADtFYGnMEJna6vnOzkS
180215110847.543|4|5XZ0ojoJo7yoCMgK8cpZK8fIQ9yHTBWkvYwDaYQctAN8u4LUTNRyk24slAsn3k0MnFLzHQLD7yRydF4r5x1XiO7OWEk4xsiaR0DoJRLNvdoo5N5FRaidnPJM8C1DXhObJkjwY5a58gxWeusCwOTvCeusGdLFQNar9rrEuzmfWWewjkxcsI0BFtYutHwPPGJFx9aA1IMCXBCTRsd904r4Oaf1IEkbW5Cc6b3EB2icVH3CJQJd3bFRLV7fMrMJ6Jdv0z4B9E0BG5ppKNmfDyXH3Z6BJikC1RPK10xA5LDexXWY9Jk52bsVPPo2yHhPdxkgX9rM96GUtgOh8YnZWlMqtQrCRNwTXuY6kbVrslpGbcvG9CsTo6rGcXHrQaOgk5jbHSSlVvp9TMEQpruUiUtsitQenDmwZufxZZkmk72Uu0uMJCnrByCvB5zEqiaAzKVG8I6wwJjyQ9pigLdfGHqXNXLGK2pCcqpROo8KuIKTN3NwSdNgCAqukRMSeiXwWKXGfxBLTT3OZBHErFyV6drFGibNhJGOy6KLD8e2bbQHkyDFv3Zr9ug9fWaEDOLjObTouoj0Xn42SStzczomX85ZjhDqsKIyRXfcJECv15VorMwEUp7abBFAju2zVyU8uXdeWJtnriFKJT8DR1FSRpi0OzcCEINOOm227qNVDHbl29oUmqgQ9bc5qarVbjKmFo482eKCWmZZRMvxBDEdm4MsC1pdtHhlbxjPx4MlbrVFMsJvRYDsEyEcPBAQDp1R4hEes47WrmLQmtienxJxlAdTGgWKHaxhvrcdLoOgK98ogXrxpQRwtysDP9Oi6B8gni520sSXjo6kOBKmN5oUafEaLIHYm56B9zPcNjrklVnnyx3YJDtas8GOUXAz9StTiN36lBKKWGf7dTHMk0NtOKCHGCrGx7QcpWe0dBGP8aXpkYSpsL8TiV5coMviZjenb4WBmCLWslZW4lzM9pLrL9HmKc8PJa7LC8NnekdOiEVtqWX0xnODzDNbR3bixyCKS5H5
180215110847.549|5|uK8hmgZwUHYHgOzYQwbCgcGZEyf0ZS7C8X1aCjPsTvfWRlwpIscKNkGaGapACxWHarp0AEKtjhf5Y7zH1h06SrcLdXbnGr4rdN1qIZGXNtadZTdzbh8pDik2DVV8MhOz
180215110847.572|6|lryjRlN76MQmJecPx8Xz5BHB2YMLW3l1jHhVZ9eHMNlAfE9cdE3FcQ2NjknLqMkbtqWhfgspOllXWJYgvAahtgV0Ek8KWVkjwo9A0IJnALLs03PcIfiDum5CaSeuyNlT
180215110847.579|7|tPDosfQslcCK8ZMnefxNceKCGTZjN5vLXoesrIcrpTAuMu5DjJQP3IV22PJU5WRj1m7tV6MdmI0ieqRTXWfSOGD0CZHUJmuQp6AdOIeHFZ9ZiOA0Y6q9lSzBlUG99jvg5R2FntcLfI2s2ZMNQiz958NCJtoOOU1B5FvwWqDlUS4MjKp6EA37mKFU00QhyiaC1Q1o06yO0T6D9QpYKuG45i0E5x00ohgA5WHetzR1v8QTHEiK8C8FYWd6mvqknK0UNtBRI2JFY5E0wYj3K3Ta1IcbQXb5G7bjVPv87Qcgo3VxqUwclN4WySX5RMUOM2T8moKbVHXWSPAAjLLcDDajsLxFj786JevKt5MUez4h8VAtD2FOBPFXe4E556jsFSNBHoxkDkTOBcpUQYaSslZy2aURPMmPbX4O29DHz9sWqBXsBQQOW1eXJoRjRLQGnWm9gLDN9zOXIhyVdwZvSEVwVkvsEkKAn69beu176qZxKd1yObQcRNMhWN6Jdjl1dCiS
180215110847.584|8|WTjjNjfjfjE3yvyD4773scSA6vym3aRRSDFWW88fRH0zZcswxEQHgtJ1Kqs2rWI9nD1v9xTJtX9aOMxilwObAK0Y9uNIW6icaoKPdHAX4sJ43XERjFN3KyAorBk3PGIteY9g4pQM6rLnXU5QdwMG7nistQMfRxxu94a4QncquLmiumqrOkCiOJiRvQ5Y0bq9KzoWfzY7727ukAqoIe998GISXRvktUQxK9wSWU27nQlRVFzsS32xDBXzJ94xrlzB73UO6t1guQCgTcpMF3JZqs88JtkcpDQEMVPbTG0enJt7wVcoHbfd9Sky2cOiw1sRLvUi1fOnlcgIMXoDjaiM4HtEsfgWSFWMXQSWO3nDdHQdy3Y9z13aROK6QqhDa0TBDRftbspo37qXo2xIzjXtta80CJttxQa8PWiyAF28P7LUY1YteJLfysl5L3f7fXU25bbpArA5Ar1ZeUA8DacfIurCVKagdvE7lG3toet2n5cIR4rXShSAOAwuzfyhQNmW
180215110847.590|9|EfRLj9DorAVrsjGiAxaXsrCSHSyeAbSCC0aQ0vHLrKKVfIGyiTxjAWVZVNelQI9cxKT9Xn9E1QenbSCvOApLTIOfqnnotDF0h82TSLQ0wvsnMR5CT4eWZvkpxIKHnMU55QrDFa5NNhVjOR3J4TE5jlb5hh6rz7VnNNzczzGQ7GMZPLoAbDHh9kCbITPqVXVOMxtaRzWftYIV0Az1lGTCLDTeeoLOxcqLxUPttBapQzzYbD5g63tD45V7SqKMXT5dmPSztFHRyHIgtkz5PhC42g4RMx2IhnG4sPcSaB8A34U306DZ04kguraMpqgqBQ2JA0Tn5yn4PX1P4ioUCHlE12lR47VKYSTwt8aWN6Gvhchtsx4iELFkC0pjY3MlJQiBgvpPZHtypHq4iIw3MvuEe9tDdnUiK8FU21h47G9yD3bRB7mMgDFJGT9rJQHUWxuIsZA7tkVfzK2sHLBZy0wFtrNyJ0Mb9w257frFWHLRVsc9diWYwxjKDXQcU7UL7FTy
180215110847.597|10|lQ4HNqrKDrPhu50Hf4MkWVZS2pOTWC9ReogTaU915we3MJoPxjrC8DZW1eDze9n2zHTcQD9NAuxa0tQNXMFmIPUrzTWfj0kJMmuKKNtQlrX41osUHzWER4L553XBYkvs5gllsrIat72fuMfZFLm03hkGW8QIcd34pLH2cO0ScBXNx7udOtQcnUUvct7Nq7RgKI2lpmZ7o6Jvd1Fr77VRASPCHnE1rT5vUG0DkFq056H10EJnuYgilzpt3501czlO0xRsq3sITSzdDxvuQK3jAmrw8QZ49aAWljyHiD5Bl7rR96LBX8HhiBu6hfvm5r18u5zTRx3pNYnZWDjJEZz1ciWzVtU0rRCUZUIE8qTiMSCJutUhXw2eVPs0IIIGXeeKISyx0QKL0MrxYlQ41XNCmDMC7aYZ8GB4K8FSYeDz0DqFU1vgpYxMLE5J6vqmc0zEHe1NqUjUbCyj5PNzvjodSEkCHF0yzmuaCeU665tZCp7pGyI9h3TghZwuiuCwZWz7MQm6yncHrBe8s38yWIpVBybTgzXnNtw4H99Ys6DoBWaoWrxFJJeDTOjY3soGAGENcvpiSuoXdmleSkcVzZ6COkGGevY5oqVG22PxeznDwFY3ZFRESGvvs6mDUilLfmFcD2cbjcKAmxk5IBTA0pBPtPtAPgYu4C0Bm2mTbe2qsvFeohMYC99SM4LFtCCn1egkLjv4hWjAIkiNXl1KA79sH5I3PkAhfOjiQa5iJLa7a9TwTgLSWG0d5030m2vdVFiDN86RVqEGFEcXaDMm5G8RUW37TL3lBAdBNKC7OWeQpTGRqu3kJlQWq29LjTXjN1TLCBCWzVA1moC5p4VpmADMjIJ1oEF2PM4IrT9wJJNucdUJpvLPoxSmuetRJPY8E2bCUtsbxfMpmnw29x4uuz6fUczZ0TR74Bz4Ma9j4ULSV7dTJbP64w6BnvcclU4vQaEcxDcCk5DZ36jri2MJhC6Sk5mvauRw0pnx3IWzpSpYkfr4eilwRsorG5e2QKKpvCut
